LATITUDE,LONGITUDE,source,in_odis,description
-22.6618,-40.4088,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Shell Brasil
-5.3895,-36.8849,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.6623,-40.4089,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Shell Brasil
-5.322,-36.7678,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7032,-37.1756,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3201,-36.7408,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.4009,-36.9331,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7215,-37.2273,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.9854,-37.0304,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.399,-36.9368,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.717,-37.0195,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.401,-36.9368,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6386,-36.9841,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.4009,-36.9277,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.596,-35.9341,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-4.9898,-37.0267,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3972,-36.9439,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7261,-37.1795,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3971,-36.9421,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.698,-37.1638,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3973,-36.9259,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2731,-37.0014,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6951,-37.1582,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3111,-36.7164,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7269,-37.1691,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3792,-36.863,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.0805,-37.1769,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7258,-37.171,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.7237,-37.5688,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7399,-37.2703,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4202,-38.5223,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
-19.044,-39.8053,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Seacrest SPE Cicaré
-10.7405,-37.273,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.1632,-38.0794,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
